Note Name,Parent Node,Category,Connections,Description
Training content classification requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[Classification]], [[Confidentiality]], [[Security]]""","""Standard for tagging training as public vs. secret."""
Proprietary information handling in materials,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[Proprietary]], [[Handling]], [[Security]]""","""Rules for including trade secrets in courseware."""
Confidential business information disclosure limits,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[Disclosure]], [[Confidential]], [[Security]]""","""Limits on sharing corporate data during webinars."""
Customer or partner data usage restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[Customer Data]], [[Privacy]], [[Security]]""","""Rules for using real client data in training scenarios."""
Trade secret protections in training,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[Trade Secret]], [[Security]], [[Governance]]""","""Safeguards for preventing training leak of IP."""
Controlled unclassified information (CUI) handling,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Classification,"""[[CUI]], [[Compliance]], [[Security]]""","""Specialized handling for gov-adjacent training data."""
Learner PII classification levels,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Data Governance,"""[[PII]], [[Learner Data]], [[Privacy]]""","""Specific tiers of sensitivity for names/SSNs in LMS."""
Performance and assessment data classification,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Data Governance,"""[[Assessment Data]], [[Privacy]], [[Security]]""","""Handling rules for sensitive test scores."""
Personnel records integration and access,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Data Governance,"""[[Integration]], [[HRIS]], [[Ops]]""","""Rules for training data flowing into HR files."""
Sensitive personal data special handling,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Data Governance,"""[[Health Data]], [[Privacy]], [[Security]]""","""Special rules for medical or demographic info."""
Aggregated vs. individual-level data treatment,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Data Governance,"""[[Aggregated Data]], [[Privacy]], [[Measurement]]""","""Rules for reporting stats without identifying persons."""
Storage location requirements (Cloud vs. On-Prem),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Storage & Retention,"""[[Storage]], [[Cloud]], [[Security]]""","""Mandate for where training databases must live."""
Data retention schedules by data type,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Storage & Retention,"""[[Retention]], [[Compliance]], [[Maintenance]]""","""Table of how long to keep tests vs. attendance."""
Data destruction and disposal methods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Storage & Retention,"""[[Destruction]], [[Disposal]], [[Security]]""","""Procedural rules for wiping old training servers."""
Archival requirements for compliance,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Storage & Retention,"""[[Archiving]], [[Compliance]], [[Governance]]""","""Mandate to keep ""gold copies"" for legal reasons."""
Right to deletion or erasure implementation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data Storage & Retention,"""[[Right to Erasure]], [[GDPR]], [[Privacy]]""","""Policy for removing learner data upon request."""
System access provisioning rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[Provisioning]], [[LMS]], [[Security]]""","""Process for granting new users training system access."""
Authentication method requirements (MFA/SSO),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[MFA]], [[SSO]], [[Security]]""","""Mandated security tiers for LMS logins."""
Role-based access control (RBAC) models,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[RBAC]], [[Hierarchy]], [[Security]]""","""Definition of admin vs. instructor vs. learner roles."""
Privileged access management and monitoring,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[Privileged Access]], [[Monitoring]], [[Security]]""","""Oversight of Super-Admin activity in training tools."""
Third-party and vendor access restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[Vendors]], [[Security]], [[Procurement]]""","""Policy for letting outside vendors see internal data."""
Temporary access provisioning for contractors,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[Temporary Access]], [[Contractors]], [[Ops]]""","""Rules for short-term training system guest accounts."""
Access recertification and review frequencies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[Recertification]], [[Security]], [[Maintenance]]""","""Schedule for checking if users still need access."""
Separation of duties requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Access Control,"""[[SoD]], [[Fraud Prevention]], [[Governance]]""","""Policy preventing one person from both creating and approving content."""
Learner privacy protection beyond legal minimums,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Privacy]], [[Learner Protection]], [[Ethics]]""","""Internal standards that exceed law to protect students."""
Data minimization principles and enforcement,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Data Minimization]], [[Privacy]], [[Ops]]""","""Policy to only collect the L&D data that is strictly needed."""
Purpose limitation and use restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Purpose Limitation]], [[Privacy]], [[Governance]]""","""Rules preventing training data use for sales/firing."""
Consent and opt-in/opt-out mechanisms,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Consent]], [[Opt-In]], [[Privacy]]""","""Documentation standards for learner data tracking."""
Privacy notice and disclosure requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Privacy Notice]], [[Disclosure]], [[Transparency]]""","""Mandatory legal text shown to learners at login."""
Learner rights communication,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Collection & Use,"""[[Rights]], [[Access]], [[Transparency]]""","""Explaining to learners how to see their own records."""
Internal data sharing limitations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Sharing]], [[Integration]], [[Governance]]""","""Limits on training data being sent to HR/Bosses."""
External data sharing restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[External Sharing]], [[Approval]], [[Security]]""","""High-level sign-off needed to export LMS data."""
Third-party data processor requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Data Processor]], [[Vendors]], [[Compliance]]""","""Standards for cloud vendors holding learner info."""
Anonymization and de-identification validation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Anonymization]], [[Privacy]], [[Measurement]]""","""Standards for verifying data is truly ""blind."""""
Aggregate reporting requirements and constraints,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Aggregated Reporting]], [[Privacy]], [[Measurement]]""","""Rules for how small a ""group"" can be before it's hidden."""
Manager visibility into training data,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Visibility]], [[Manager]], [[Ops]]""","""Delineation of what exactly a boss can see (e.g., scores vs. completion)."""
Peer visibility constraints,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Sharing & Disclosure,"""[[Peer Visibility]], [[Leaderboards]], [[Privacy]]""","""Limits on learners seeing each other's progress."""
Approved technology platforms (Whitelist/Blacklist),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Whitelist]], [[Approved Tech]], [[IT]]""","""List of software trainers are allowed to install."""
Cloud service provider requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Cloud]], [[Security]], [[IT]]""","""Criteria for choosing training platform hosting."""
Software installation and configuration standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Installation]], [[Standards]], [[IT]]""","""Hardening rules for L&D software setups."""
Network segmentation and DMZ requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Segmentation]], [[Network]], [[Security]]""","""Policy for isolating training servers from corporate ones."""
Encryption requirements (At-rest/In-transit),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Encryption]], [[Security]], [[IT]]""","""Mandated crypto-standards for training data."""
Vulnerability management and patching schedules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Vulnerability]], [[Patching]], [[Maintenance]]""","""Timelines for fixing L&D platform security bugs."""
Penetration testing and security frequency,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Technical Controls,"""[[Pentesting]], [[Security]], [[Maintenance]]""","""Required annual hack-test for the LRS/LMS."""
Security incident detection and response,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Incidents]], [[Response]], [[Security]]""","""Protocols for when a training database is hacked."""
Logging and monitoring requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Logging]], [[Audits]], [[Maintenance]]""","""Mandate to track who changed training content."""
Security awareness training for L&D staff,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Security Awareness]], [[Training]], [[Compliance]]""","""Specialized safety training for the people who make training."""
Vendor security assessment requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Security Assessment]], [[Vendors]], [[Procurement]]""","""Mandated audit of a tool before IT buys it."""
Supply chain security considerations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Supply Chain]], [[Security]], [[Risk]]""","""Risk checks for training component providers."""
Business continuity for training systems,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Operational Controls,"""[[Continuity]], [[Disaster Recovery]], [[Ops]]""","""Redundancy plans for when the training platform fails."""
DRM technology requirements or restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Security & DRM,"""[[DRM]], [[Content Protection]], [[IP]]""","""Policy on using copy-protection for videos."""
Screen capture and download prevention policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Security & DRM,"""[[Screen Capture]], [[Prevention]], [[Security]]""","""Mandate to block users from recording internal webinars."""
Content watermarking or fingerprinting,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Security & DRM,"""[[Watermarking]], [[IP]], [[Security]]""","""Requirement to embed hidden ID tags in files."""
Secure content delivery mechanism mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Security & DRM,"""[[Secure Delivery]], [[Security]], [[Ops]]""","""Specific rules for the transport of secret courseware."""
Anti-piracy monitoring and enforcement,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Security & DRM,"""[[Anti-Piracy]], [[Enforcement]], [[IP]]""","""Active checking for training on public sites."""
Enterprise architecture framework adherence,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Architecture]], [[TOGAF]], [[IT]]""","""Requirement for L&D systems to fit corporate IT plans."""
Technology standards and reference compliance,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Reference Architecture]], [[IT Standards]], [[Ops]]""","""Policy mandating L&D follow company IT blueprints."""
Interoperability and integration standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Interoperability]], [[APIs]], [[Integration]]""","""Mandate for L&D systems to talk to each other."""
Technology stack restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Tech Stack]], [[Approved Tech]], [[IT]]""","""Limits on what languages/databases L&D can use."""
Legacy system support and compatibility,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Legacy]], [[Compatibility]], [[Maintenance]]""","""Rules for how long old course formats must work."""
Sunset and decommissioning policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Sunsetting]], [[Lifecycle]], [[Maintenance]]""","""Rules for turning off old training websites."""
Technology debt management and remediation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enterprise Architecture,"""[[Tech Debt]], [[Remediation]], [[Maintenance]]""","""Mandate to update old, hard-to-fix L&D systems."""
Strategic technology vendor considerations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Platform Selection,"""[[Vendors]], [[Strategy]], [[Procurement]]""","""High-level rules for choosing long-term partners."""
Enterprise agreement or volume licensing alignment,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Platform Selection,"""[[Volume Licensing]], [[Alignment]], [[Finance]]""","""Mandate to use existing corporate software deals."""
Platform consolidation vs. best-of-breed policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Platform Selection,"""[[Consolidation]], [[Best-of-Breed]], [[Strategy]]""","""Policy choice between one big LMS vs. many small tools."""
